category,gender,marital_status,device,18-24,25-34,35-44,45-54,55+
Games,F,single,android,0.7326732673267327,0.6825396825396826,0.6666666666666666,0.5384615384615384,0.46808510638297873
Games,F,single,iOS,0.8214285714285714,0.5892857142857143,0.65,0.5660377358490566,0.5344827586206896
Games,M,married,android,0.7741935483870968,0.7446808510638298,0.5818181818181818,0.7,0.7560975609756098
Games,M,married,iOS,0.8311688311688312,0.7131147540983607,0.753968253968254,0.775,0.8016528925619835
Games,M,single,android,0.7473684210526316,0.5555555555555556,0.4915254237288136,0.5789473684210527,0.660377358490566
Games,M,single,iOS,0.7727272727272727,0.68,0.6774193548387096,0.6140350877192983,0.5769230769230769
Games,U,married,android,0.7419354838709677,0.5833333333333334,0.47058823529411764,0.26666666666666666,0.2857142857142857
Games,U,married,iOS,0.5757575757575758,0.4857142857142857,0.4827586206896552,0.38235294117647056,0.41025641025641024
Games,U,single,android,0.5813953488372093,0.4666666666666667,0.5333333333333333,0.5,0.25
Games,U,single,iOS,0.5862068965517241,0.3888888888888889,0.5,0.3333333333333333,0.42105263157894735
Sports,F,married,android,0.8192771084337349,0.6222222222222222,0.6140350877192983,0.7049180327868853,0.6440677966101694
Sports,F,married,iOS,0.8125,0.696,0.75,0.6991150442477876,0.7034482758620689
Sports,F,single,android,0.7052631578947368,0.6730769230769231,0.6166666666666667,0.7142857142857143,0.4444444444444444
Sports,F,single,iOS,0.723404255319149,0.6610169491525424,0.6721311475409836,0.543859649122807,0.6170212765957447
Sports,M,married,android,0.75,0.603448275862069,0.509090909090909,0.6415094339622641,0.6808510638297872
Sports,M,married,iOS,0.7278481012658228,0.672,0.6639344262295082,0.6771653543307087,0.7333333333333333
Sports,M,single,android,0.7395833333333334,0.58,0.5892857142857143,0.6923076923076923,0.6727272727272727
Sports,M,single,iOS,0.7386363636363636,0.5932203389830508,0.6440677966101694,0.6481481481481481,0.5111111111111111
Sports,U,married,android,0.5151515151515151,0.6153846153846154,0.1875,0.5833333333333334,0.375
Sports,U,married,iOS,0.5774647887323944,0.5833333333333334,0.425,0.5428571428571428,0.48
Sports,U,single,android,0.6666666666666666,0.45454545454545453,0.3333333333333333,0.42105263157894735,0.45454545454545453
Sports,U,single,iOS,0.625,0.2,0.32,0.46153846153846156,0.2727272727272727
Technology,F,married,android,0.7674418604651163,0.5625,0.7659574468085106,0.5918367346938775,0.5294117647058824
Technology,F,married,iOS,0.8218390804597702,0.652542372881356,0.7478991596638656,0.7131147540983607,0.6950354609929078
Technology,F,single,android,0.6702127659574468,0.6612903225806451,0.6949152542372882,0.6,0.5714285714285714
Technology,F,single,iOS,0.7252747252747253,0.6666666666666666,0.5694444444444444,0.5,0.5636363636363636
Technology,M,married,android,0.6630434782608695,0.6226415094339622,0.6181818181818182,0.7636363636363637,0.7407407407407407
Technology,M,married,iOS,0.7839506172839507,0.7033898305084746,0.711864406779661,0.6557377049180327,0.7387387387387387
Technology,M,single,android,0.7676767676767676,0.6222222222222222,0.5964912280701754,0.5535714285714286,0.62
Technology,M,single,iOS,0.7311827956989247,0.6666666666666666,0.6307692307692307,0.5892857142857143,0.5918367346938775
Technology,U,married,android,0.6578947368421053,0.5,0.2,0.7272727272727273,0.3888888888888889
Technology,U,married,iOS,0.6461538461538462,0.39622641509433965,0.4594594594594595,0.4807692307692308,0.2972972972972973
Technology,U,single,android,0.5641025641025641,0.38461538461538464,0.47619047619047616,0.6666666666666666,0.3333333333333333
Technology,U,single,iOS,0.4482758620689655,0.42857142857142855,0.4444444444444444,0.5,0.7
